scene_id,condition,strategy,run_count,pair_count,mean_node_overlap,mean_edge_agreement
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,auto_unified,layered,2,1,1.0,1.0
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,raw,layered,2,1,1.0,1.0
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,raw,one_shot,2,1,1.0,1.0
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,auto_unified,layered,2,1,1.0,1.0
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,layered,2,1,1.0,1.0
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,one_shot,2,1,1.0,1.0
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,reviewed_unified,layered,2,1,0.692308,0.6
indego_user_14_1410_2110_2_s2,auto_unified,layered,2,1,1.0,1.0
indego_user_14_1410_2110_2_s2,raw,layered,2,1,1.0,1.0
indego_user_14_1410_2110_2_s2,raw,one_shot,2,1,1.0,1.0
indego_user_14_1410_2110_2_s2,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_407_0110_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_407_0110_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_407_0110_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_407_0110_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_411_2409_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_411_2409_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_411_2409_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_411_2409_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_412_02024_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_412_02024_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_412_02024_1_s1,raw,one_shot,2,1,1.0,0.95
indego_user_14_412_02024_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_412_02024_2_s1,auto_unified,layered,2,1,1.0,0.75
indego_user_14_412_02024_2_s1,raw,layered,2,1,1.0,1.0
indego_user_14_412_02024_2_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_412_02024_2_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_414_1712_woodworking_2_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_414_1712_woodworking_2_s1,raw,layered,2,1,1.0,1.0
indego_user_14_414_1712_woodworking_2_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_414_1712_woodworking_2_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_414_2609_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_414_2609_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_414_2609_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_414_2609_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_15_2410_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_15_2410_1_s1,raw,layered,2,1,0.0,0.0
